table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Vinyols i els Arcs - Cambrils,31.0,
0,Resum dades: temperatura màxima avui,Cunit,30.6,
0,Resum dades: temperatura màxima avui,Vilanova i la Geltrú,30.6,
0,Resum dades: temperatura màxima avui,Tarragona - Complex Educatiu,30.5,
0,Resum dades: temperatura màxima avui,l'Aldea,30.4,
0,Resum dades: temperatura màxima avui,el Prat de Llobregat,30.4,
0,Resum dades: temperatura màxima avui,Constantí,30.3,
0,Resum dades: temperatura màxima avui,Miami Platja,30.3,
0,Resum dades: temperatura màxima avui,Illa de Buda,30.2,
0,Resum dades: temperatura màxima avui,Aldover,30.2,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),9.8,
1,Resum dades: temperatura mínima avui,Prades,10.9,
1,Resum dades: temperatura mínima avui,Puigcerdà,11.6,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,11.7,
1,Resum dades: temperatura mínima avui,Gisclareny,12.0,
1,Resum dades: temperatura mínima avui,el Pont de Suert,12.3,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,12.4,
1,Resum dades: temperatura mínima avui,Guixers - Valls,12.5,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,12.6,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,12.6,
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,47.9
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),O,40.3
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,36.4
2,Resum dades: velocitat i direcció del vent avui,Roses,NE,31.7
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,NE,22.0
2,Resum dades: velocitat i direcció del vent avui,Orís,NO,20.9
2,Resum dades: velocitat i direcció del vent avui,Vilafranca del Penedès - la Granada,NE,20.5
2,Resum dades: velocitat i direcció del vent avui,la Pobla de Segur,NO,20.2
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,NE,19.8
2,Resum dades: velocitat i direcció del vent avui,Alguaire,E,19.4
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.1,
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.1,
3,Resum dades: precipitació avui,Das - Aeròdrom,0.1,
3,Resum dades: precipitació avui,Cardona,0.1,
3,Resum dades: precipitació avui,Castellar de n'Hug - el Clot del Moro,0.1,
3,Resum dades: precipitació avui,Guixers - Valls,0.1,
3,Resum dades: precipitació avui,Navès,0.1,
3,Resum dades: precipitació avui,Santa Coloma de Queralt,0.1,
3,Resum dades: precipitació avui,Guardiola de Berguedà,0.1,
3,Resum dades: precipitació avui,la Panadella,0.1,
