table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Malgrat de Mar,27.6,
0,Resum dades: temperatura màxima avui,Castell d'Aro,27.3,
0,Resum dades: temperatura màxima avui,l'Aldea,27.3,
0,Resum dades: temperatura màxima avui,Vallirana,26.9,
0,Resum dades: temperatura màxima avui,les Cases d'Alcanar,26.9,
0,Resum dades: temperatura màxima avui,Espolla,26.9,
0,Resum dades: temperatura màxima avui,Tarragona - Complex Educatiu,26.9,
0,Resum dades: temperatura màxima avui,Vinyols i els Arcs - Cambrils,26.8,
0,Resum dades: temperatura màxima avui,Torroella de Montgrí,26.7,
0,Resum dades: temperatura màxima avui,el Prat de Llobregat,26.7,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,2.4,
1,Resum dades: temperatura mínima avui,Prades,4.0,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),4.5,
1,Resum dades: temperatura mínima avui,Puigcerdà,5.4,
1,Resum dades: temperatura mínima avui,Guixers - Valls,5.6,
1,Resum dades: temperatura mínima avui,el Pont de Suert,5.8,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,6.7,
1,Resum dades: temperatura mínima avui,Molló - Fabert,6.9,
1,Resum dades: temperatura mínima avui,Tírvia,6.9,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,7.6,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,NO,63.7
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,NE,36.7
2,Resum dades: velocitat i direcció del vent avui,Miami Platja,O,36.4
2,Resum dades: velocitat i direcció del vent avui,Roses,N,33.1
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,32.0
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),O,32.0
2,Resum dades: velocitat i direcció del vent avui,Navata,N,32.0
2,Resum dades: velocitat i direcció del vent avui,Riudecanyes,NO,27.7
2,Resum dades: velocitat i direcció del vent avui,el Perelló,NO,27.4
2,Resum dades: velocitat i direcció del vent avui,Malgrat de Mar,N,24.8
3,Resum dades: precipitació avui,Cassà de la Selva,0.2,
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.1,
3,Resum dades: precipitació avui,Banyoles,0.1,
3,Resum dades: precipitació avui,Castellnou de Bages,0.1,
3,Resum dades: precipitació avui,Rellinars,0.1,
3,Resum dades: precipitació avui,Viladrau,0.1,
3,Resum dades: precipitació avui,Barcelona - Zona Universitària,0.1,
3,Resum dades: precipitació avui,Castellbisbal,0.1,
3,Resum dades: precipitació avui,Girona,0.1,
3,Resum dades: precipitació avui,Vic,0.1,
