table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Vinebre,29.2,
0,Resum dades: temperatura màxima avui,Horta de Sant Joan,29.0,
0,Resum dades: temperatura màxima avui,Barcelona - el Raval,29.0,
0,Resum dades: temperatura màxima avui,Miami Platja,29.0,
0,Resum dades: temperatura màxima avui,Margalef,28.9,
0,Resum dades: temperatura màxima avui,les Cases d'Alcanar,28.9,
0,Resum dades: temperatura màxima avui,Vilanova i la Geltrú,28.9,
0,Resum dades: temperatura màxima avui,els Alfacs,28.8,
0,Resum dades: temperatura màxima avui,Pantà de Riba-roja,28.8,
0,Resum dades: temperatura màxima avui,Roses,28.6,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),12.2,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,13.6,
1,Resum dades: temperatura mínima avui,el Pont de Suert,14.1,
1,Resum dades: temperatura mínima avui,Guixers - Valls,14.2,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,14.6,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,14.7,
1,Resum dades: temperatura mínima avui,Puigcerdà,14.7,
1,Resum dades: temperatura mínima avui,Tírvia,15.3,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,15.8,
1,Resum dades: temperatura mínima avui,Molló - Fabert,16.0,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,62.6
2,Resum dades: velocitat i direcció del vent avui,Ulldemolins,S,50.4
2,Resum dades: velocitat i direcció del vent avui,Montsec d'Ares (1.571 m),S,47.5
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,NE,46.8
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),SO,46.1
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,NE,45.0
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - ZAL Prat,NE,39.2
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,38.2
2,Resum dades: velocitat i direcció del vent avui,Barcelona - el Raval,E,38.2
2,Resum dades: velocitat i direcció del vent avui,Roses,N,37.4
3,Resum dades: precipitació avui,Pujalt,2.8,
3,Resum dades: precipitació avui,Tàrrega,2.1,
3,Resum dades: precipitació avui,la Granadella,1.9,
3,Resum dades: precipitació avui,el Canós,1.9,
3,Resum dades: precipitació avui,Constantí,1.2,
3,Resum dades: precipitació avui,Vielha - Elipòrt,1.1,
3,Resum dades: precipitació avui,Sant Martí de Riucorb,0.8,
3,Resum dades: precipitació avui,les Borges Blanques,0.7,
3,Resum dades: precipitació avui,Bonabé (1.691 m),0.6,
3,Resum dades: precipitació avui,Pinós,0.5,
