table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Fogars de la Selva,33.6,
0,Resum dades: temperatura màxima avui,Barcelona - el Raval,33.6,
0,Resum dades: temperatura màxima avui,Santa Coloma de Farners,33.6,
0,Resum dades: temperatura màxima avui,Girona,33.5,
0,Resum dades: temperatura màxima avui,el Prat de Llobregat,33.4,
0,Resum dades: temperatura màxima avui,Barcelona - Zona Universitària,33.1,
0,Resum dades: temperatura màxima avui,Fornells de la Selva,33.0,
0,Resum dades: temperatura màxima avui,Banyoles,32.9,
0,Resum dades: temperatura màxima avui,Anglès,32.9,
0,Resum dades: temperatura màxima avui,Cabrils,32.6,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),7.0,
1,Resum dades: temperatura mínima avui,el Pont de Suert,9.6,
1,Resum dades: temperatura mínima avui,Montsec d'Ares (1.571 m),10.1,
1,Resum dades: temperatura mínima avui,Guixers - Valls,10.3,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,11.5,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,11.7,
1,Resum dades: temperatura mínima avui,Sort,11.7,
1,Resum dades: temperatura mínima avui,Puig Sesolles (1.666 m),11.9,
1,Resum dades: temperatura mínima avui,Molló - Fabert,12.0,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,12.0,
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),O,86.8
2,Resum dades: velocitat i direcció del vent avui,el Perelló,NO,63.7
2,Resum dades: velocitat i direcció del vent avui,Font-rubí,NO,62.6
2,Resum dades: velocitat i direcció del vent avui,Montsec d'Ares (1.571 m),NO,62.6
2,Resum dades: velocitat i direcció del vent avui,Miami Platja,NO,56.2
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,SO,53.3
2,Resum dades: velocitat i direcció del vent avui,Riudecanyes,NO,53.3
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,NO,51.5
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,NO,51.5
2,Resum dades: velocitat i direcció del vent avui,els Hostalets de Pierola,O,50.4
3,Resum dades: precipitació avui,Vilanova i la Geltrú,0.7,
3,Resum dades: precipitació avui,Sant Pere de Ribes - PN del Garraf,0.4,
3,Resum dades: precipitació avui,Vallirana,0.2,
3,Resum dades: precipitació avui,Viladrau,0.2,
3,Resum dades: precipitació avui,Castellbisbal,0.2,
3,Resum dades: precipitació avui,Port de Barcelona - ZAL Prat,0.2,
3,Resum dades: precipitació avui,Barcelona - Observatori Fabra,0.1,
3,Resum dades: precipitació avui,Banyoles,0.1,
3,Resum dades: precipitació avui,Fogars de la Selva,0.1,
3,Resum dades: precipitació avui,la Roca del Vallès - ETAP Cardedeu,0.1,
