table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Castell d'Aro,28.8,
0,Resum dades: temperatura màxima avui,el Prat de Llobregat,28.6,
0,Resum dades: temperatura màxima avui,Espolla,28.5,
0,Resum dades: temperatura màxima avui,Malgrat de Mar,28.4,
0,Resum dades: temperatura màxima avui,Vilanova i la Geltrú,28.3,
0,Resum dades: temperatura màxima avui,la Bisbal d'Empordà,28.2,
0,Resum dades: temperatura màxima avui,l'Aldea,28.2,
0,Resum dades: temperatura màxima avui,Torroella de Montgrí,28.2,
0,Resum dades: temperatura màxima avui,Tarragona - Complex Educatiu,28.2,
0,Resum dades: temperatura màxima avui,Torroella de Fluvià,28.1,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,3.0,
1,Resum dades: temperatura mínima avui,el Pont de Suert,5.5,
1,Resum dades: temperatura mínima avui,Guixers - Valls,5.8,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,6.7,
1,Resum dades: temperatura mínima avui,Puigcerdà,6.8,
1,Resum dades: temperatura mínima avui,Sort,6.9,
1,Resum dades: temperatura mínima avui,Tírvia,7.7,
1,Resum dades: temperatura mínima avui,Molló - Fabert,7.9,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,8.2,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,8.3,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,62.3
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,NE,45.0
2,Resum dades: velocitat i direcció del vent avui,Roses,N,38.9
2,Resum dades: velocitat i direcció del vent avui,Navata,N,38.5
2,Resum dades: velocitat i direcció del vent avui,Miami Platja,O,37.8
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,33.8
2,Resum dades: velocitat i direcció del vent avui,el Perelló,N,32.4
2,Resum dades: velocitat i direcció del vent avui,Riudecanyes,NO,29.5
2,Resum dades: velocitat i direcció del vent avui,la Pobla de Segur,N,26.6
2,Resum dades: velocitat i direcció del vent avui,Ulldemolins,E,26.3
3,Resum dades: precipitació avui,la Panadella,0.6,
3,Resum dades: precipitació avui,el Pont de Suert,0.2,
3,Resum dades: precipitació avui,Font-rubí,0.1,
3,Resum dades: precipitació avui,el Montmell,0.1,
3,Resum dades: precipitació avui,Santa Coloma de Queralt,0.1,
3,Resum dades: precipitació avui,el Canós,0.1,
3,Resum dades: precipitació avui,Pinós,0.1,
3,Resum dades: precipitació avui,Tagamanent - PN del Montseny,0.1,
3,Resum dades: precipitació avui,la Llacuna,0.1,
3,Resum dades: precipitació avui,Mollerussa,0.1,
